service_id,date,day_name
159,2026-04-29,Wednesday
159,2026-04-30,Thursday
160,2026-05-01,Friday
52,2026-05-02,Saturday
161,2026-05-03,Sunday
161,2026-05-04,Monday
159,2026-05-05,Tuesday
159,2026-05-06,Wednesday
159,2026-05-07,Thursday
160,2026-05-08,Friday
52,2026-05-09,Saturday
161,2026-05-10,Sunday
159,2026-05-11,Monday
159,2026-05-12,Tuesday
159,2026-05-13,Wednesday
159,2026-05-14,Thursday
160,2026-05-15,Friday
52,2026-05-16,Saturday
161,2026-05-17,Sunday
159,2026-05-18,Monday
159,2026-05-19,Tuesday
159,2026-05-20,Wednesday
159,2026-05-21,Thursday
160,2026-05-22,Friday
52,2026-05-23,Saturday
161,2026-05-24,Sunday
159,2026-05-25,Monday
159,2026-05-26,Tuesday
159,2026-05-27,Wednesday
159,2026-05-28,Thursday
160,2026-05-29,Friday
52,2026-05-30,Saturday
161,2026-05-31,Sunday
161,2026-06-01,Monday
159,2026-06-02,Tuesday
159,2026-06-03,Wednesday
159,2026-06-04,Thursday
160,2026-06-05,Friday
52,2026-06-06,Saturday
161,2026-06-07,Sunday
159,2026-06-08,Monday
159,2026-06-09,Tuesday
159,2026-06-10,Wednesday
159,2026-06-11,Thursday
160,2026-06-12,Friday
52,2026-06-13,Saturday
161,2026-06-14,Sunday
159,2026-06-15,Monday
159,2026-06-16,Tuesday
159,2026-06-17,Wednesday
159,2026-06-18,Thursday
160,2026-06-19,Friday
52,2026-06-20,Saturday
161,2026-06-21,Sunday
159,2026-06-22,Monday
159,2026-06-23,Tuesday
159,2026-06-24,Wednesday
159,2026-06-25,Thursday
160,2026-06-26,Friday
52,2026-06-27,Saturday
161,2026-06-28,Sunday
159,2026-06-29,Monday
159,2026-06-30,Tuesday
159,2026-07-01,Wednesday
159,2026-07-02,Thursday
160,2026-07-03,Friday
52,2026-07-04,Saturday
161,2026-07-05,Sunday
159,2026-07-06,Monday
159,2026-07-07,Tuesday
159,2026-07-08,Wednesday
159,2026-07-09,Thursday
160,2026-07-10,Friday
52,2026-07-11,Saturday
161,2026-07-12,Sunday
159,2026-07-13,Monday
159,2026-07-14,Tuesday
159,2026-07-15,Wednesday
159,2026-07-16,Thursday
160,2026-07-17,Friday
52,2026-07-18,Saturday
161,2026-07-19,Sunday
159,2026-07-20,Monday
159,2026-07-21,Tuesday
159,2026-07-22,Wednesday
159,2026-07-23,Thursday
160,2026-07-24,Friday
52,2026-07-25,Saturday
