route_id,route_short_name,route_long_name,hour,mean_headway_minutes,median_headway_minutes,departures
1 1 e a,1,Sandymount - O'Connell Street - Santry,6,12.0,12.0,2
1 1 e a,1,Sandymount - O'Connell Street - Santry,7,10.0,10.0,5
1 1 e a,1,Sandymount - O'Connell Street - Santry,8,8.0,10.0,7
1 1 e a,1,Sandymount - O'Connell Street - Santry,9,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,10,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,11,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,12,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,13,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,14,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,15,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,16,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,17,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,18,6.22,6.0,9
1 1 e a,1,Sandymount - O'Connell Street - Santry,19,8.33,10.0,6
1 1 e a,1,Sandymount - O'Connell Street - Santry,20,10.0,10.0,5
1 1 e a,1,Sandymount - O'Connell Street - Santry,21,10.0,10.0,5
1 1 e a,1,Sandymount - O'Connell Street - Santry,22,10.0,10.0,5
1 1 e a,1,Sandymount - O'Connell Street - Santry,23,10.0,10.0,3
1 11 c a,11,Phoenix Park - Sandyford Business District,6,12.5,10.0,4
1 11 c a,11,Phoenix Park - Sandyford Business District,7,7.14,5.0,7
1 11 c a,11,Phoenix Park - Sandyford Business District,8,9.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,9,10.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,10,11.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,11,11.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,12,11.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,13,11.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,14,11.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,15,15.0,15.0,3
1 11 c a,11,Phoenix Park - Sandyford Business District,16,8.33,7.5,6
1 11 c a,11,Phoenix Park - Sandyford Business District,17,7.14,5.0,7
1 11 c a,11,Phoenix Park - Sandyford Business District,18,8.33,7.5,6
1 11 c a,11,Phoenix Park - Sandyford Business District,19,11.25,12.5,4
1 11 c a,11,Phoenix Park - Sandyford Business District,20,15.0,15.0,3
1 11 c a,11,Phoenix Park - Sandyford Business District,21,15.0,15.0,3
1 11 c a,11,Phoenix Park - Sandyford Business District,22,10.0,10.0,5
1 11 c a,11,Phoenix Park - Sandyford Business District,23,10.0,5.0,3
1 11B a,11B,Phoenix Park - Donnybrook,9,2.0,2.0,1
1 11B a,11B,Phoenix Park - Donnybrook,10,10.75,10.0,4
1 11B a,11B,Phoenix Park - Donnybrook,11,10.5,8.5,4
1 11B a,11B,Phoenix Park - Donnybrook,12,7.86,8.0,7
1 11B a,11B,Phoenix Park - Donnybrook,13,7.86,10.0,7
1 11B a,11B,Phoenix Park - Donnybrook,14,9.5,10.0,6
1 11B a,11B,Phoenix Park - Donnybrook,15,8.14,8.0,7
1 11B a,11B,Phoenix Park - Donnybrook,16,9.5,10.0,6
1 11B a,11B,Phoenix Park - Donnybrook,17,10.0,10.0,3
1 120 c a,120,Ashtown Station - Parnell St,6,15.0,15.0,1
1 120 c a,120,Ashtown Station - Parnell St,7,10.0,10.0,5
1 120 c a,120,Ashtown Station - Parnell St,8,10.0,10.0,5
1 120 c a,120,Ashtown Station - Parnell St,9,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,10,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,11,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,12,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,13,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,14,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,15,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,16,11.25,12.5,4
1 120 c a,120,Ashtown Station - Parnell St,17,9.0,10.0,5
1 120 c a,120,Ashtown Station - Parnell St,18,8.33,7.5,6
1 120 c a,120,Ashtown Station - Parnell St,19,11.0,10.0,5
1 120 c a,120,Ashtown Station - Parnell St,20,11.25,12.5,4
1 120 c a,120,Ashtown Station - Parnell St,21,15.0,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,22,18.33,15.0,3
1 120 c a,120,Ashtown Station - Parnell St,23,30.0,30.0,1
1 122 c a,122,Drimnagh - Ashington,6,13.33,15.0,3
1 122 c a,122,Drimnagh - Ashington,7,6.11,5.0,9
1 122 c a,122,Drimnagh - Ashington,8,5.0,5.0,11
1 122 c a,122,Drimnagh - Ashington,9,5.0,5.0,11
1 122 c a,122,Drimnagh - Ashington,10,5.0,5.0,11
1 122 c a,122,Drimnagh - Ashington,11,5.0,5.0,11
1 122 c a,122,Drimnagh - Ashington,12,5.0,5.0,11
1 122 c a,122,Drimnagh - Ashington,13,5.0,5.0,11
1 122 c a,122,Drimnagh - Ashington,14,4.83,5.0,12
1 122 c a,122,Drimnagh - Ashington,15,3.62,3.5,16
1 122 c a,122,Drimnagh - Ashington,16,3.62,4.0,16
1 122 c a,122,Drimnagh - Ashington,17,4.58,5.0,12
1 122 c a,122,Drimnagh - Ashington,18,6.88,5.0,8
1 122 c a,122,Drimnagh - Ashington,19,6.43,5.0,7
1 122 c a,122,Drimnagh - Ashington,20,11.25,12.5,4
1 122 c a,122,Drimnagh - Ashington,21,15.0,15.0,3
1 122 c a,122,Drimnagh - Ashington,22,15.0,15.0,3
1 122 c a,122,Drimnagh - Ashington,23,15.0,15.0,2
1 13 c a,13,Grange Castle - Harristown,6,7.71,5.0,7
1 13 c a,13,Grange Castle - Harristown,7,4.91,6.0,11
1 13 c a,13,Grange Castle - Harristown,8,7.5,5.5,6
1 13 c a,13,Grange Castle - Harristown,9,10.8,12.0,5
1 13 c a,13,Grange Castle - Harristown,10,7.71,9.0,7
1 13 c a,13,Grange Castle - Harristown,11,7.71,9.0,7
1 13 c a,13,Grange Castle - Harristown,12,7.71,9.0,7
1 13 c a,13,Grange Castle - Harristown,13,7.71,9.0,7
1 13 c a,13,Grange Castle - Harristown,14,7.71,9.0,7
1 13 c a,13,Grange Castle - Harristown,15,7.71,9.0,7
1 13 c a,13,Grange Castle - Harristown,16,7.71,9.0,7
1 13 c a,13,Grange Castle - Harristown,17,9.0,9.0,5
1 13 c a,13,Grange Castle - Harristown,18,15.0,15.0,3
1 13 c a,13,Grange Castle - Harristown,19,15.0,15.0,3
1 13 c a,13,Grange Castle - Harristown,20,15.0,15.0,3
1 13 c a,13,Grange Castle - Harristown,21,15.0,15.0,3
1 13 c a,13,Grange Castle - Harristown,22,15.0,15.0,3
1 13 c a,13,Grange Castle - Harristown,23,15.0,15.0,2
1 130 c a,130,Talbot Street - Castle Avenue,6,13.75,10.0,4
1 130 c a,130,Talbot Street - Castle Avenue,7,5.5,5.0,10
1 130 c a,130,Talbot Street - Castle Avenue,8,5.0,5.0,11
1 130 c a,130,Talbot Street - Castle Avenue,9,5.0,5.0,11
1 130 c a,130,Talbot Street - Castle Avenue,10,4.58,4.5,12
1 130 c a,130,Talbot Street - Castle Avenue,11,4.58,4.5,12
1 130 c a,130,Talbot Street - Castle Avenue,12,4.5,5.0,12
1 130 c a,130,Talbot Street - Castle Avenue,13,6.0,6.0,9
1 130 c a,130,Talbot Street - Castle Avenue,14,6.0,6.0,9
1 130 c a,130,Talbot Street - Castle Avenue,15,6.0,6.0,9
1 130 c a,130,Talbot Street - Castle Avenue,16,4.83,3.0,12
1 130 c a,130,Talbot Street - Castle Avenue,17,3.6,3.0,15
