hour,mean_segment_seconds,median_segment_seconds,segment_count
0,57.05,46.0,18639
1,53.5,45.0,9832
2,53.33,45.0,9354
3,54.34,45.0,9915
4,55.11,45.0,11008
5,58.51,48.0,16524
6,66.96,59.0,44014
7,76.75,64.0,71791
8,85.45,71.0,81644
9,78.83,64.0,84712
10,76.41,63.0,80761
11,77.18,64.0,81174
12,80.65,68.0,80672
13,81.71,69.0,82348
14,82.11,70.0,83101
15,84.41,71.0,84046
16,88.44,74.0,88167
17,88.93,74.0,95324
18,81.17,67.0,96341
19,73.46,60.0,83832
20,68.94,58.0,73926
21,60.92,50.0,73636
22,59.39,48.0,68756
23,58.25,47.0,57574
