route_id,route_short_name,route_long_name,mean_speed_kmh,median_speed_kmh,mean_trip_minutes,mean_shape_km,trip_count
1 15D c a,15D,Merrion Square - Whitechurch,10.42,10.44,73.08,12.59,6
1 68A c a,68A,Hawkins Street - Bulfin Road,11.43,11.67,31.3,5.93,10
1 27X c a,27X,Clare Hall - UCD Belfield,11.63,11.87,99.08,19.18,6
1 1 e a,1,Sandymount - O'Connell Street - Santry,12.47,11.72,36.26,7.32,500
1 11B a,11B,Phoenix Park - Donnybrook,12.71,12.26,39.17,8.24,100
1 118 c a,118,Kilternan - Eden Quay,12.72,12.72,79.25,16.8,2
1 16D c a,16D,Airport - Beaumont Village - Ballinteer not,12.74,12.71,105.17,22.32,12
1 122 c a,122,Drimnagh - Ashington,13.02,12.16,73.92,15.53,412
1 116 c a,116,Whitechurch - Parnell Square,13.26,13.26,89.38,18.92,4
1 77X c a,77X,Citywest - UCD Belfield,13.74,13.74,125.25,28.68,2
1 39X c a,39X,Ongar - Burlington Road,13.92,13.92,95.0,21.94,8
1 7D c a,7D,Dalkey - Mountjoy Square,13.93,13.93,81.25,18.65,4
1 15A c a,15A,Merrion Square - Limekiln Avenue,13.99,13.35,46.98,10.66,358
1 7B c a,7B,Shankill - Mountjoy Square,14.11,14.12,88.17,20.64,18
1 S2,S2,Sean Moore Road - Heuston Station,14.23,13.84,62.96,14.52,494
1 15B c a,15B,Merrion Square - Stocking Avenue,14.63,14.1,61.56,14.65,464
1 16 c a,16,Ballinteer - Dublin Airport,14.91,14.06,94.96,22.76,632
1 51D c a,51D,Aston Quay - Clondalkin,14.93,13.94,94.17,23.18,6
1 11 c a,11,Phoenix Park - Sandyford Business District,15.0,14.29,65.12,15.46,310
1 69X c a,69X,Rathcoole - Hawkins St,15.15,15.15,80.5,20.26,4
1 23 a,23,Merrion Square - Charlestown SC,15.24,14.69,47.93,11.89,368
1 150 c a,150,Rossmore - Hawkins Street,15.33,14.88,39.85,9.93,350
1 X31 c,X31,River Forest - UCD Belfield,15.54,15.88,100.83,26.08,12
1 F3 a,F3,Charlestown SC - Limekiln Avenue,15.56,14.94,84.36,21.42,500
1 38B c a,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,15.83,14.41,80.17,20.85,26
1 120 c a,120,Ashtown Station - Parnell St,15.86,15.65,29.7,7.55,293
1 P29 c,P29,Adamstown Stn - Ringsend,15.95,16.18,69.41,18.42,16
1 F2 a,F2,Charlestown SC - Rossmore,16.04,15.55,75.21,19.58,542
1 X30 d,X30,Dodsboro - UCD,16.18,15.85,103.08,27.66,12
1 X28 d,X28,Salesian College - Celbridge Main St - UCD,16.22,16.9,116.03,31.33,18
1 4 c a,4,Monkstown Avenue - Heuston Station,16.27,15.49,51.65,13.71,538
1 38D c a,38D,IBM Damastown via N3 - Burlington Rd,16.41,16.41,67.75,18.51,4
1 41C c a,41C,Swords Manor Via River Valley - Lower Abbey St,16.43,15.77,74.95,20.05,328
1 E2 a,E2,Dun Laoghaire - Harristown,16.54,15.3,102.31,27.35,830
1 7A c a,7A,Loughlinstown - Mountjoy Sq,16.54,15.15,76.06,20.29,262
1 41D c a,41D,Swords Business Park - Lwr Abbey St,16.56,16.46,52.06,14.37,8
1 H1 c a,H1,Baldoyle - Lower Abbey Street,16.59,16.18,46.81,12.58,528
1 X32 c,X32,Kildare Innovation Campus - UCD Belfield,16.63,16.53,99.0,27.42,8
1 X25 c,X25,Maynooth - Easton Rd - UCD,16.63,16.57,119.44,33.11,18
1 80 a,80,Liffey Valley SC - Palmerston Park,16.69,15.96,58.69,15.92,590
1 14 c a,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),16.74,15.95,81.06,21.84,579
1 F1 a,F1,The Square Tallaght - IKEA,16.82,16.12,100.1,27.48,580
1 L25,L25,Dun Laoghaire - Dundrum Town Centre,16.92,16.27,36.75,10.02,498
1 82 a,82,Irishtown - Kiltipper,16.92,16.19,76.82,21.01,428
1 7 c a,7,Brides Glen Luas - Mountjoy Square,16.96,15.7,72.46,19.96,264
1 27 c a,27,Jobstown - Clare Hall,17.0,16.17,105.29,29.0,668
1 X26 c,X26,Maynooth - Louisa Bridge - Leeson Street Lower,17.09,16.98,119.75,34.11,6
1 60,60,Forbes Street - Tallaght,17.11,16.74,61.66,17.24,149
1 37 c a,37,Blanchardstown Shopping Centre - Wilton Terrace,17.11,16.4,72.22,20.08,371
1 77A c a,77A,Citywest - Ringsend,17.16,16.53,86.85,24.15,374
1 L12 a,L12,Ballywaltrim - Bray Dart Station,17.37,16.95,15.17,4.27,344
1 44D a,44D,Dundrum - OCS,17.41,19.02,35.67,10.0,6
1 15 c a,15,Ballycullen Road - Clongriffin,17.54,16.08,85.46,24.14,785
1 32X c a,32X,UCD Belfield - Malahide,17.55,17.55,105.88,30.94,4
1 70D c a,70D,Dunboyne - DCU,17.6,17.6,72.75,21.34,4
1 130 c a,130,Talbot Street - Castle Avenue,17.73,16.93,35.84,10.36,530
1 38 c a,38,Damastown - Burlington Road,17.73,17.03,76.64,21.81,280
1 27A c a,27A,Blunden Drive - Eden Quay,17.76,17.34,36.17,10.47,206
1 19 a,19,Parnell Square West - Dublin Airport,17.81,16.97,61.88,17.93,492
1 74,74,Dundrum Luas - Eden Quay,17.85,16.97,69.04,20.02,272
1 39 c a,39,Ongar - Burlington Rd,17.86,17.0,94.9,27.48,290
1 38A c a,38A,Damastown via Navan Rd - Burlington Rd,17.95,17.07,69.66,20.06,256
1 E1 a,E1,Ballywaltrim - Northwood,18.13,17.03,104.83,30.8,874
1 142 e a,142,Portmarnock - UCD (Belfield),18.2,18.08,111.05,33.66,18
1 13 c a,13,Grange Castle - Harristown,18.23,17.4,79.6,23.54,572
1 X27 d,X27,Salesian College - Aghards Rd - UCD,18.28,18.58,109.12,33.23,16
1 47 c a,47,Poolbeg Street - Belarmine,18.35,17.85,57.91,17.03,140
1 G2 a,G2,Liffey Valley SC - Spencer Dock,18.52,17.32,61.96,18.55,558
1 41 c a,41,Swords Manor - Lower Abbey Street,18.53,17.25,65.19,19.41,473
1 43 c a,43,Talbot Street - Swords Business Park,18.67,18.14,58.49,17.77,203
1 G1,G1,Red Cow LUAS - Spencer Dock,18.79,18.23,60.1,18.37,565
1 44 c a,44,Enniskerry - DCU,18.81,17.51,98.52,29.47,140
1 56A c a,56A,Tallaght - Ringsend Rd,19.04,18.5,61.15,18.97,113
1 39A c a,39A,Ongar - UCD Belfield,19.28,17.77,92.34,28.39,796
1 H3 c a,H3,Howth Summit - Lower Abbey Street,19.83,19.27,51.95,16.87,286
1 65B c a,65B,Poolbeg Street - Citywest,19.98,19.02,62.48,20.12,144
1 N4,N4,Blanchardstown - Point Village,20.37,18.94,69.93,22.49,736
1 C1 c,C1,Adamstown Stn - Sandymount,20.45,19.15,73.88,24.36,396
1 42 c a,42,Sand's Hotel Portmarnock - Eden Quay,20.46,19.91,61.99,20.64,298
1 42D c a,42D,Portmarnock - DCU,20.48,20.48,64.5,22.01,4
1 27B c a,27B,Eden Quay - Harristown,20.54,20.1,50.06,16.79,379
1 151 c a,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),20.55,19.9,65.98,22.14,359
1 L53 c,L53,Liffey Valley - Adamstown Stn,20.57,20.12,24.86,8.29,262
1 24 a,24,Merrion Square - Dublin Airport,20.6,19.74,61.28,20.42,419
1 69 c a,69,Rathcoole - Hawkins St,20.65,20.03,70.13,23.08,139
1 C2 c,C2,Adamstown Stn - Sandymount,20.74,19.28,74.87,25.16,396
1 68 c a,68,Newcastle / Greenogue Business Pk - Hawkins St,20.84,20.34,72.93,24.62,129
1 99 a,99,Phoenix Park - Phoenix Park,21.02,21.0,19.27,6.74,76
1 L14 a,L14,Southern Cross Road - Palermo,21.47,20.62,41.59,14.56,264
1 H2 c a,H2,Malahide - Lower Abbey Street,21.63,21.21,58.33,20.57,265
1 41B c a,41B,Rolestown - Lower Abbey Street,21.7,22.18,64.75,22.78,31
1 70 c a,70,Dunboyne - Burlington Rd,21.82,21.35,68.49,24.16,181
1 X1 a,X1,Kilcoole - Hawkins Street,22.0,20.83,111.85,40.76,20
1 40D c a,40D,Tyrrelstown - Parnell Street,22.21,22.45,55.27,20.1,275
1 7E a,7E,Mountjoy Square - Dalkey,22.6,21.93,81.17,30.52,3
1 L54 b,L54,River Forest - Red Cow Luas,22.69,22.65,44.94,16.63,268
