route_id,route_short_name,route_long_name,mean_shape_km,min_shape_km,max_shape_km,shape_count
1 33E c a,33E,Lwr Abbey St - Portrane - Skerries,47.78,47.78,47.78,1
1 X2 a,X2,Newcastle - Hawkins Street,46.36,45.91,46.82,2
1 33X c a,33X,Skerries - Custom House Quay / St Stephen Green,41.95,39.83,44.07,2
1 X1 a,X1,Kilcoole - Hawkins Street,40.87,40.35,41.38,2
1 33 c a,33,Balbriggan - Lower Abbey St,39.47,36.45,42.9,11
1 65 e,65,Poolbeg Street - Blessington/Ballymore,37.62,31.12,45.64,10
1 41X c a,41X,Swords - UCD Belfield,34.41,28.38,56.6,7
1 X26 c,X26,Maynooth - Louisa Bridge - Leeson Street Lower,34.11,34.11,34.11,1
1 142 e a,142,Portmarnock - UCD (Belfield),33.6,33.08,34.13,2
1 X27 d,X27,Salesian College - Aghards Rd - UCD,33.23,32.36,34.09,2
1 X25 c,X25,Maynooth - Easton Rd - UCD,32.55,28.03,35.38,3
1 C5 d,C5,Maynooth - Ringsend Night Service,31.83,31.25,32.4,4
1 X28 d,X28,Salesian College - Celbridge Main St - UCD,31.24,30.44,32.04,2
1 32X c a,32X,UCD Belfield - Malahide,30.94,30.82,31.05,2
1 7E a,7E,Mountjoy Square - Dalkey,30.52,30.52,30.52,1
1 C4 c,C4,Maynooth - Ringsend,29.28,29.18,29.41,5
1 C6 c,C6,Maynooth - Celbridge - Ringsend Night Service,29.24,28.86,29.61,4
1 77X c a,77X,Citywest - UCD Belfield,28.68,28.68,28.68,1
1 39A c a,39A,Ongar - UCD Belfield,28.4,27.76,29.03,6
1 E1 a,E1,Ballywaltrim - Northwood,28.29,19.47,31.22,9
1 33D c a,33D,Portrane - St Stephens Green,27.72,26.63,28.82,2
1 C3 c,C3,Maynooth - Ringsend,27.7,27.41,27.99,4
1 X30 d,X30,Dodsboro - UCD,27.66,25.67,28.65,3
1 39 c a,39,Ongar - Burlington Rd,27.52,26.74,28.29,4
1 X32 c,X32,Kildare Innovation Campus - UCD Belfield,27.42,27.0,27.84,2
1 E2 a,E2,Dun Laoghaire - Harristown,27.36,27.35,27.36,5
1 X31 c,X31,River Forest - UCD Belfield,26.08,25.7,26.46,2
1 C2 c,C2,Adamstown Stn - Sandymount,24.77,22.06,25.53,6
1 68 c a,68,Newcastle / Greenogue Business Pk - Hawkins St,24.53,23.22,26.08,9
1 77A c a,77A,Citywest - Ringsend,24.15,24.06,24.25,6
1 F1 a,F1,The Square Tallaght - IKEA,23.95,14.76,28.94,6
1 C1 c,C1,Adamstown Stn - Sandymount,23.84,21.23,24.67,6
1 13 c a,13,Grange Castle - Harristown,23.54,23.46,23.63,6
1 44 c a,44,Enniskerry - DCU,23.46,5.53,31.92,11
1 52 b,52,Intel - Ringsend,23.45,23.34,23.61,8
1 6 c a,6,Howth Dart Stn - Lower Abbey Street,23.37,23.32,23.41,6
1 70 c a,70,Dunboyne - Burlington Rd,23.27,20.58,24.82,7
1 51D c a,51D,Aston Quay - Clondalkin,22.95,22.25,23.64,2
1 N4,N4,Blanchardstown - Point Village,22.49,22.24,22.73,6
1 69 c a,69,Rathcoole - Hawkins St,22.36,19.9,23.28,8
1 15 c a,15,Ballycullen Road - Clongriffin,22.36,11.37,26.06,7
1 16D c a,16D,Airport - Beaumont Village - Ballinteer not,22.32,22.32,22.32,1
1 41B c a,41B,Rolestown - Lower Abbey Street,22.31,20.68,25.14,6
1 42D c a,42D,Portmarnock - DCU,22.01,21.94,22.09,2
1 39X c a,39X,Ongar - Burlington Road,21.94,21.38,22.49,2
1 38 c a,38,Damastown - Burlington Road,21.69,17.97,25.61,9
1 70D c a,70D,Dunboyne - DCU,21.34,21.31,21.37,2
1 82 a,82,Irishtown - Kiltipper,21.01,20.69,21.32,6
1 27 c a,27,Jobstown - Clare Hall,20.93,11.73,30.66,15
1 42 c a,42,Sand's Hotel Portmarnock - Eden Quay,20.64,20.45,20.82,6
1 7B c a,7B,Shankill - Mountjoy Square,20.58,20.1,21.07,2
1 H2 c a,H2,Malahide - Lower Abbey Street,20.56,20.51,20.63,5
1 151 c a,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),20.43,16.85,24.47,9
1 24 a,24,Merrion Square - Dublin Airport,20.42,20.4,20.43,6
1 7A c a,7A,Loughlinstown - Mountjoy Sq,20.29,20.29,20.3,5
1 69X c a,69X,Rathcoole - Hawkins St,20.26,19.56,20.96,2
1 65B c a,65B,Poolbeg Street - Citywest,20.13,20.0,20.25,6
1 40D c a,40D,Tyrrelstown - Parnell Street,20.04,19.69,20.49,7
1 74,74,Dundrum Luas - Eden Quay,20.02,19.88,20.15,6
1 7 c a,7,Brides Glen Luas - Mountjoy Square,19.96,19.95,19.96,5
1 38B c a,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,19.8,16.2,23.82,3
1 38A c a,38A,Damastown via Navan Rd - Burlington Rd,19.57,16.33,23.86,8
1 F2 a,F2,Charlestown SC - Rossmore,19.57,19.55,19.6,5
1 41C c a,41C,Swords Manor Via River Valley - Lower Abbey St,19.49,15.69,20.33,7
1 41 c a,41,Swords Manor - Lower Abbey Street,19.41,18.54,20.28,6
1 27X c a,27X,Clare Hall - UCD Belfield,19.25,19.05,19.46,2
1 56A c a,56A,Tallaght - Ringsend Rd,18.97,18.88,19.05,6
1 116 c a,116,Whitechurch - Parnell Square,18.92,16.08,21.76,2
1 F3 a,F3,Charlestown SC - Limekiln Avenue,18.85,10.68,21.6,8
1 37 c a,37,Blanchardstown Shopping Centre - Wilton Terrace,18.69,16.74,20.7,7
1 7D c a,7D,Dalkey - Mountjoy Square,18.65,17.98,19.32,2
1 G2 a,G2,Liffey Valley SC - Spencer Dock,18.56,17.7,19.41,4
1 38D c a,38D,IBM Damastown via N3 - Burlington Rd,18.51,18.29,18.72,2
1 P29 c,P29,Adamstown Stn - Ringsend,18.42,18.24,18.61,2
1 65A a,65A,Route 65A Tallaght Sq - Blessington,18.32,18.01,18.63,2
1 G1,G1,Red Cow LUAS - Spencer Dock,18.05,16.72,20.05,5
1 43 c a,43,Talbot Street - Swords Business Park,17.8,17.63,17.91,5
1 16 c a,16,Ballinteer - Dublin Airport,17.47,11.59,23.48,12
1 H3 c a,H3,Howth Summit - Lower Abbey Street,16.85,16.78,16.97,5
1 118 c a,118,Kilternan - Eden Quay,16.8,16.8,16.8,1
1 14 c a,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),16.76,5.86,23.33,11
1 60,60,Forbes Street - Tallaght,16.67,12.86,17.65,7
1 L54 b,L54,River Forest - Red Cow Luas,16.63,16.24,17.02,6
1 47 c a,47,Poolbeg Street - Belarmine,16.46,10.16,18.01,9
1 80 a,80,Liffey Valley SC - Palmerston Park,15.92,15.42,16.43,6
1 19 a,19,Parnell Square West - Dublin Airport,15.29,5.18,18.87,8
1 27B c a,27B,Eden Quay - Harristown,14.99,9.66,17.42,14
1 15B c a,15B,Merrion Square - Stocking Avenue,14.66,14.45,14.87,6
1 L14 a,L14,Southern Cross Road - Palermo,14.56,14.48,14.64,6
1 S2,S2,Sean Moore Road - Heuston Station,14.52,14.44,14.59,6
1 41D c a,41D,Swords Business Park - Lwr Abbey St,14.37,14.19,14.55,2
1 40E c a,40E,Broombridge Luas - Tyrrelstown,13.83,13.6,14.43,8
1 4 c a,4,Monkstown Avenue - Heuston Station,13.72,13.36,14.07,6
1 L59 b,L59,River Forest - Celbridge - Hazelhatch,13.05,13.0,13.12,5
1 H1 c a,H1,Baldoyle - Lower Abbey Street,12.57,12.54,12.62,5
1 15D c a,15D,Merrion Square - Whitechurch,12.51,12.27,12.75,2
1 L89 a,L89,Broombridge Luas - Toberburr,12.03,12.03,12.04,6
1 23 a,23,Merrion Square - Charlestown SC,11.78,11.32,12.46,5
1 44B c a,44B,Glencullen - Dundrum Luas,11.61,11.57,11.65,2
1 122 c a,122,Drimnagh - Ashington,11.28,6.42,15.83,11
1 11 c a,11,Phoenix Park - Sandyford Business District,11.21,3.86,16.11,11
1 53 c a,53,Dublin Ferryport - Talbot St,10.84,10.57,11.24,5
1 15A c a,15A,Merrion Square - Limekiln Avenue,10.64,10.46,10.85,8
1 27A c a,27A,Blunden Drive - Eden Quay,10.4,10.18,10.63,8
1 44D a,44D,Dundrum - OCS,10.37,9.27,11.47,2
1 130 c a,130,Talbot Street - Castle Avenue,10.36,10.02,10.7,6
1 L25,L25,Dun Laoghaire - Dundrum Town Centre,10.02,9.94,10.1,6
1 150 c a,150,Rossmore - Hawkins Street,9.92,9.84,9.95,7
1 L58 b,L58,River Forest - Castletown - Hazelhatch Stn,9.06,9.0,9.12,6
1 120 c a,120,Ashtown Station - Parnell St,8.32,7.17,11.32,8
1 L53 c,L53,Liffey Valley - Adamstown Stn,8.29,8.19,8.38,4
1 11B a,11B,Phoenix Park - Donnybrook,8.21,8.15,8.33,3
1 1 e a,1,Sandymount - O'Connell Street - Santry,7.32,7.27,7.37,6
1 99 a,99,Phoenix Park - Phoenix Park,6.74,6.74,6.74,3
1 68A c a,68A,Hawkins Street - Bulfin Road,5.91,5.85,5.98,2
1 L12 a,L12,Ballywaltrim - Bray Dart Station,4.27,4.21,4.34,6
