route_id,route_short_name,route_long_name,Peak,Off-peak,Midday,peak_vs_offpeak_seconds,peak_vs_offpeak_percent
1 39X c a,39X,Ongar - Burlington Road,181.78,53.67,,128.12,238.73
1 P29 c,P29,Adamstown Stn - Ringsend,139.64,90.0,,49.64,55.16
1 X1 a,X1,Kilcoole - Hawkins Street,177.12,134.21,,42.91,31.97
1 X27 d,X27,Salesian College - Aghards Rd - UCD,107.55,72.4,,35.16,48.56
1 X2 a,X2,Newcastle - Hawkins Street,158.01,124.09,195.0,33.92,27.34
1 X31 c,X31,River Forest - UCD Belfield,113.87,82.5,,31.37,38.03
1 N4,N4,Blanchardstown - Point Village,84.12,57.89,82.44,26.23,45.31
1 X28 d,X28,Salesian College - Celbridge Main St - UCD,118.24,92.39,,25.85,27.98
1 47 c a,47,Poolbeg Street - Belarmine,86.3,61.23,78.94,25.07,40.94
1 1 e a,1,Sandymount - O'Connell Street - Santry,100.32,75.41,97.44,24.9,33.02
1 C1 c,C1,Adamstown Stn - Sandymount,96.02,71.35,90.28,24.67,34.57
1 69 c a,69,Rathcoole - Hawkins St,83.57,58.92,77.53,24.64,41.82
1 7B c a,7B,Shankill - Mountjoy Square,93.6,69.0,,24.6,35.66
1 24 a,24,Merrion Square - Dublin Airport,99.75,75.55,97.67,24.2,32.03
1 39A c a,39A,Ongar - UCD Belfield,86.49,63.3,84.12,23.2,36.64
1 38A c a,38A,Damastown via Navan Rd - Burlington Rd,95.2,72.0,90.9,23.2,32.23
1 11 c a,11,Phoenix Park - Sandyford Business District,83.22,60.1,76.95,23.12,38.47
1 38 c a,38,Damastown - Burlington Road,91.45,68.33,86.55,23.12,33.83
1 C2 c,C2,Adamstown Stn - Sandymount,99.9,77.16,95.62,22.75,29.48
1 142 e a,142,Portmarnock - UCD (Belfield),105.6,82.92,,22.68,27.35
1 41 c a,41,Swords Manor - Lower Abbey Street,85.85,63.29,88.09,22.56,35.65
1 15 c a,15,Ballycullen Road - Clongriffin,88.05,65.73,84.35,22.31,33.95
1 X30 d,X30,Dodsboro - UCD,123.52,101.29,,22.23,21.95
1 E2 a,E2,Dun Laoghaire - Harristown,88.28,66.08,86.43,22.2,33.59
1 44 c a,44,Enniskerry - DCU,84.69,62.56,82.17,22.13,35.38
1 F1 a,F1,The Square Tallaght - IKEA,87.22,65.67,84.19,21.55,32.82
1 41B c a,41B,Rolestown - Lower Abbey Street,88.53,68.04,87.36,20.48,30.1
1 13 c a,13,Grange Castle - Harristown,83.67,63.25,79.87,20.42,32.28
1 65 e,65,Poolbeg Street - Blessington/Ballymore,73.48,53.12,66.66,20.36,38.33
1 82 a,82,Irishtown - Kiltipper,81.56,61.34,78.24,20.22,32.96
