route_id,route_short_name,route_long_name,unique_stops,mean_shape_km,stops_per_km
1 11 c a,11,Phoenix Park - Sandyford Business District,108,11.21,9.63
1 122 c a,122,Drimnagh - Ashington,105,11.28,9.31
1 120 c a,120,Ashtown Station - Parnell St,74,8.32,8.89
1 27 c a,27,Jobstown - Clare Hall,185,20.93,8.84
1 14 c a,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),143,16.76,8.53
1 16 c a,16,Ballinteer - Dublin Airport,144,17.47,8.24
1 27A c a,27A,Blunden Drive - Eden Quay,77,10.4,7.4
1 F3 a,F3,Charlestown SC - Limekiln Avenue,139,18.85,7.37
1 150 c a,150,Rossmore - Hawkins Street,72,9.92,7.26
1 15A c a,15A,Merrion Square - Limekiln Avenue,76,10.64,7.14
1 68A c a,68A,Hawkins Street - Bulfin Road,42,5.91,7.11
1 S2,S2,Sean Moore Road - Heuston Station,99,14.52,6.82
1 130 c a,130,Talbot Street - Castle Avenue,69,10.36,6.66
1 44 c a,44,Enniskerry - DCU,156,23.46,6.65
1 F1 a,F1,The Square Tallaght - IKEA,159,23.95,6.64
1 1 e a,1,Sandymount - O'Connell Street - Santry,48,7.32,6.56
1 H1 c a,H1,Baldoyle - Lower Abbey Street,82,12.57,6.52
1 F2 a,F2,Charlestown SC - Rossmore,127,19.57,6.49
1 15D c a,15D,Merrion Square - Whitechurch,81,12.51,6.47
1 11B a,11B,Phoenix Park - Donnybrook,53,8.21,6.46
1 23 a,23,Merrion Square - Charlestown SC,76,11.78,6.45
1 74,74,Dundrum Luas - Eden Quay,128,20.02,6.39
1 47 c a,47,Poolbeg Street - Belarmine,105,16.46,6.38
1 15B c a,15B,Merrion Square - Stocking Avenue,93,14.66,6.34
1 L25,L25,Dun Laoghaire - Dundrum Town Centre,63,10.02,6.29
1 68 c a,68,Newcastle / Greenogue Business Pk - Hawkins St,154,24.53,6.28
1 E1 a,E1,Ballywaltrim - Northwood,174,28.29,6.15
1 7A c a,7A,Loughlinstown - Mountjoy Sq,124,20.29,6.11
1 37 c a,37,Blanchardstown Shopping Centre - Wilton Terrace,114,18.69,6.1
1 L12 a,L12,Ballywaltrim - Bray Dart Station,26,4.27,6.09
1 H3 c a,H3,Howth Summit - Lower Abbey Street,102,16.85,6.05
1 41C c a,41C,Swords Manor Via River Valley - Lower Abbey St,118,19.49,6.05
1 82 a,82,Irishtown - Kiltipper,127,21.01,6.04
1 15 c a,15,Ballycullen Road - Clongriffin,132,22.36,5.9
1 38 c a,38,Damastown - Burlington Road,128,21.69,5.9
1 77A c a,77A,Citywest - Ringsend,142,24.15,5.88
1 27B c a,27B,Eden Quay - Harristown,87,14.99,5.8
1 80 a,80,Liffey Valley SC - Palmerston Park,92,15.92,5.78
1 19 a,19,Parnell Square West - Dublin Airport,88,15.29,5.76
1 116 c a,116,Whitechurch - Parnell Square,108,18.92,5.71
1 65B c a,65B,Poolbeg Street - Citywest,115,20.13,5.71
1 4 c a,4,Monkstown Avenue - Heuston Station,78,13.72,5.69
1 7D c a,7D,Dalkey - Mountjoy Square,106,18.65,5.68
1 56A c a,56A,Tallaght - Ringsend Rd,107,18.97,5.64
1 E2 a,E2,Dun Laoghaire - Harristown,154,27.36,5.63
1 H2 c a,H2,Malahide - Lower Abbey Street,115,20.56,5.59
1 60,60,Forbes Street - Tallaght,92,16.67,5.52
1 G2 a,G2,Liffey Valley SC - Spencer Dock,102,18.56,5.5
1 7B c a,7B,Shankill - Mountjoy Square,113,20.58,5.49
1 7 c a,7,Brides Glen Luas - Mountjoy Square,109,19.96,5.46
1 38A c a,38A,Damastown via Navan Rd - Burlington Rd,106,19.57,5.42
1 43 c a,43,Talbot Street - Swords Business Park,96,17.8,5.39
1 13 c a,13,Grange Castle - Harristown,126,23.54,5.35
1 39 c a,39,Ongar - Burlington Rd,147,27.52,5.34
1 L53 c,L53,Liffey Valley - Adamstown Stn,44,8.29,5.31
1 69 c a,69,Rathcoole - Hawkins St,118,22.36,5.28
1 41 c a,41,Swords Manor - Lower Abbey Street,102,19.41,5.26
1 G1,G1,Red Cow LUAS - Spencer Dock,94,18.05,5.21
1 N4,N4,Blanchardstown - Point Village,116,22.49,5.16
1 42 c a,42,Sand's Hotel Portmarnock - Eden Quay,106,20.64,5.14
