route_id,route_short_name,route_long_name,scheduled_trips_in_feed
1 E1 a,E1,Ballywaltrim - Northwood,874
1 E2 a,E2,Dun Laoghaire - Harristown,830
1 39A c a,39A,Ongar - UCD Belfield,796
1 15 c a,15,Ballycullen Road - Clongriffin,785
1 N4,N4,Blanchardstown - Point Village,736
1 27 c a,27,Jobstown - Clare Hall,668
1 16 c a,16,Ballinteer - Dublin Airport,632
1 80 a,80,Liffey Valley SC - Palmerston Park,590
1 F1 a,F1,The Square Tallaght - IKEA,580
1 14 c a,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),579
1 13 c a,13,Grange Castle - Harristown,572
1 G1,G1,Red Cow LUAS - Spencer Dock,565
1 G2 a,G2,Liffey Valley SC - Spencer Dock,558
1 F2 a,F2,Charlestown SC - Rossmore,542
1 4 c a,4,Monkstown Avenue - Heuston Station,538
1 130 c a,130,Talbot Street - Castle Avenue,530
1 H1 c a,H1,Baldoyle - Lower Abbey Street,528
1 1 e a,1,Sandymount - O'Connell Street - Santry,500
1 F3 a,F3,Charlestown SC - Limekiln Avenue,500
1 L25,L25,Dun Laoghaire - Dundrum Town Centre,498
