day,hour,mean_segment_seconds
Friday,0,55.97
Friday,1,51.4
Friday,2,51.37
Friday,3,52.74
Friday,4,55.21
Friday,5,59.45
Friday,6,69.95
Friday,7,83.24
Friday,8,95.71
Friday,9,84.55
Friday,10,78.7
Friday,11,78.77
Friday,12,81.74
Friday,13,82.94
Friday,14,83.91
Friday,15,88.53
Friday,16,95.44
Friday,17,96.06
Friday,18,84.83
Friday,19,74.89
Friday,20,69.49
Friday,21,60.62
Friday,22,58.87
Friday,23,57.55
Monday,0,55.45
Monday,1,51.25
Monday,2,50.92
Monday,3,52.25
Monday,4,54.51
Monday,5,58.44
Monday,6,69.03
Monday,7,80.04
Monday,8,87.37
Monday,9,78.89
Monday,10,75.46
Monday,11,76.02
Monday,12,79.35
Monday,13,80.44
Monday,14,80.88
Monday,15,83.55
Monday,16,87.69
Monday,17,88.38
Monday,18,80.45
Monday,19,72.55
Monday,20,68.0
Monday,21,59.64
Monday,22,58.04
Monday,23,56.89
Thursday,0,55.97
Thursday,1,51.4
Thursday,2,51.37
Thursday,3,52.74
Thursday,4,55.21
Thursday,5,59.45
Thursday,6,69.95
Thursday,7,83.24
Thursday,8,95.71
Thursday,9,84.55
Thursday,10,78.7
Thursday,11,78.77
Thursday,12,81.74
Thursday,13,82.94
Thursday,14,83.91
Thursday,15,88.53
Thursday,16,95.44
Thursday,17,96.06
Thursday,18,84.83
Thursday,19,74.89
Thursday,20,69.49
Thursday,21,60.62
Thursday,22,58.87
Thursday,23,57.55
Tuesday,0,55.97
Tuesday,1,51.4
Tuesday,2,51.37
Tuesday,3,52.74
Tuesday,4,55.21
Tuesday,5,59.45
Tuesday,6,69.95
Tuesday,7,83.24
Tuesday,8,95.71
Tuesday,9,84.55
Tuesday,10,78.7
Tuesday,11,78.77
Tuesday,12,81.74
Tuesday,13,82.94
Tuesday,14,83.91
Tuesday,15,88.53
Tuesday,16,95.44
Tuesday,17,96.06
Tuesday,18,84.83
Tuesday,19,74.89
Tuesday,20,69.49
Tuesday,21,60.62
Tuesday,22,58.87
Tuesday,23,57.55
Wednesday,0,55.97
Wednesday,1,51.4
Wednesday,2,51.37
Wednesday,3,52.74
Wednesday,4,55.21
Wednesday,5,59.45
Wednesday,6,69.95
Wednesday,7,83.24
Wednesday,8,95.71
Wednesday,9,84.55
Wednesday,10,78.7
Wednesday,11,78.77
Wednesday,12,81.74
Wednesday,13,82.94
Wednesday,14,83.91
Wednesday,15,88.53
Wednesday,16,95.44
Wednesday,17,96.06
Wednesday,18,84.83
Wednesday,19,74.89
Wednesday,20,69.49
Wednesday,21,60.62
Wednesday,22,58.87
Wednesday,23,57.55
